Start,End,Open,High,Low,Close,Volume,Volatility,Impact,Rolling_std,Price_to_Volume,Cluster
2023-10-21,2023-10-22,29672.96,30205.02,29470.81,29894.16,0.25541288187972633,0.06118474579955368,1.354925196095569e-08,1975.3573229749186,117042.49127918744,1
2023-10-20,2023-10-21,28763.53,30023.31,28594.81,29665.02,0.3056019912781489,0.11904279344419517,2.2032583513183023e-08,2195.608112118871,97070.76801407315,1
2023-10-19,2023-10-20,28302.91,28865.26,28183.07,28695.97,0.2055336802824314,0.05684970476702509,1.5644256992547404e-08,2324.9288431420387,139616.87427855041,1
2023-10-18,2023-10-19,28406.01,28794.04,28190.5,28322.73,0.24560881978799218,0.050295476062519884,1.1582413383218957e-08,2104.1743698018686,115316.42073948315,1
2023-10-17,2023-10-18,28536.36,28596.46,28117.74,28407.42,0.354819828702013,0.03989371093987037,6.359420582949138e-09,1591.2216068069654,80061.53462144105,1
2023-10-16,2023-10-17,27164.23,29291.74,27124.05,28502.1,0.21911247735411307,0.180642543171892,4.662988194418473e-08,740.9411929032539,130079.766995364,1
2023-10-02,2023-10-03,27982.93,28478.97,27374.23,27609.13,0.148735333550999,0.09206253806758163,3.500808001546987e-08,238.76356059866012,185625.89897667637,1
2023-09-21,2023-09-22,27104.31,27138.3,26417.87,26556.98,0.16347786586508628,0.06003640159678093,2.0771053885358675e-08,159.3171476392582,162450.00422208064,1
2023-09-20,2023-09-21,27196.99,27345.79,26841.64,27121.84,0.16806710919672938,0.04201289766530708,1.4138510649757602e-08,310.25039305217746,161375.06100764062,1
2023-09-19,2023-09-20,26770.64,27461.08,26676.36,27211.2,0.16896550694327153,0.06539395230768566,2.1889884089185478e-08,371.7382206139064,161045.8873664427,1
2023-09-15,2023-09-16,26512.72,26809.85,26239.05,26627.69,0.16670661569519116,0.047567116904407784,1.613828883985367e-08,285.3871483298431,159727.85416438698,1
